route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_9179327,"Zajezdnia Obornicka",1,808855,2,1,808855
A,3,3_9179345,"Zajezdnia Obornicka",0,808856,3,1,808856
A,3,3_9179384,"Zajezdnia Obornicka",0,808856,6,1,808856
A,3,3_9179200,"KOSZAROWA (Szpital)",1,809957,22,1,809957
A,3,3_9179311,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179313,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179315,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179317,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179319,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179321,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179323,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179325,"KOSZAROWA (Szpital)",1,809957,2,1,809957
A,3,3_9179330,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179332,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179334,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179336,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179338,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179340,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179342,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179344,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,3,3_9179347,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179349,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179351,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179353,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179355,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179357,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179359,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179361,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179363,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,3,3_9179369,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179371,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179373,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179375,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179377,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179379,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179381,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179383,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,3,3_9179105,"RACŁAWICKA",0,810422,24,1,810422
A,3,3_9179199,"RACŁAWICKA",0,810422,22,1,810422
A,3,3_9179310,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179312,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179314,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179316,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179318,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179320,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179322,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179324,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179326,"RACŁAWICKA",0,810422,2,1,810422
A,3,3_9179329,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179331,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179333,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179335,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179337,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179339,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179341,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179343,"RACŁAWICKA",0,810422,3,1,810422
A,3,3_9179348,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179350,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179352,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179354,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179356,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179358,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179360,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179362,"RACŁAWICKA",0,810422,4,2,810422
A,3,3_9179370,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179372,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179374,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179376,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179378,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179380,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179382,"RACŁAWICKA",0,810422,6,1,810422
A,3,3_9179104,"KOSZAROWA (Szpital)",1,810765,24,1,810765
A,3,3_9179198,"KOSZAROWA (Szpital)",1,810765,22,1,810765
A,3,3_9179309,"KOSZAROWA (Szpital)",1,810765,2,1,810765
A,3,3_9179328,"KOSZAROWA (Szpital)",1,810765,3,1,810765
A,3,3_9179346,"RACŁAWICKA",0,810766,4,2,810766
A,3,3_9179368,"RACŁAWICKA",0,810766,6,1,810766
A,3,3_9179364,"RACŁAWICKA",0,810817,4,2,810817
A,3,3_9179106,"OPORÓW",1,811239,24,1,811239
A,4,4_9182240,"Zajezdnia Obornicka",1,808855,1,1,808855
A,4,4_9182257,"Zajezdnia Obornicka",0,808856,3,1,808856
A,4,4_9182296,"Zajezdnia Obornicka",0,808856,6,1,808856
A,4,4_9182120,"KOSZAROWA (Szpital)",1,809957,22,1,809957
A,4,4_9182224,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182226,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182228,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182230,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182232,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182234,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182236,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182238,"KOSZAROWA (Szpital)",1,809957,1,1,809957
A,4,4_9182242,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182244,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182246,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182248,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182250,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182252,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182254,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182256,"KOSZAROWA (Szpital)",1,809957,3,1,809957
A,4,4_9182259,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182261,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182263,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182265,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182267,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182269,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182271,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182273,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182275,"KOSZAROWA (Szpital)",1,809957,4,2,809957
A,4,4_9182281,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182283,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182285,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182287,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182289,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182291,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182293,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182295,"KOSZAROWA (Szpital)",1,809957,6,1,809957
A,4,4_9182028,"RACŁAWICKA",0,810422,24,1,810422
A,4,4_9182119,"RACŁAWICKA",0,810422,22,1,810422
A,4,4_9182225,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182227,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182229,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182231,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182233,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182235,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182237,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182239,"RACŁAWICKA",0,810422,1,1,810422
A,4,4_9182243,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182245,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182247,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182249,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182251,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182253,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182255,"RACŁAWICKA",0,810422,3,1,810422
A,4,4_9182260,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182262,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182264,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182266,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182268,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182270,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182272,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182274,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182276,"RACŁAWICKA",0,810422,4,2,810422
A,4,4_9182282,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182284,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182286,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182288,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182290,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182292,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182294,"RACŁAWICKA",0,810422,6,1,810422
A,4,4_9182027,"KOSZAROWA (Szpital)",1,810765,24,1,810765
A,4,4_9182118,"KOSZAROWA (Szpital)",1,810765,22,1,810765
A,4,4_9182223,"RACŁAWICKA",0,810766,1,1,810766
A,4,4_9182241,"RACŁAWICKA",0,810766,3,1,810766
A,4,4_9182258,"RACŁAWICKA",0,810766,4,2,810766
A,4,4_9182280,"RACŁAWICKA",0,810766,6,1,810766
A,4,4_9182029,"OPORÓW",1,811239,24,1,811239
A,6,6_9171776,"Zajezdnia Obornicka",1,808855,1,2,808855
